visit,date,treatment,rep_ID,clone,stem,height_mm,eggs,alive1_dead0
5,6/10/2018,CO,18,18,2,565,0,1
5,6/10/2018,CO,18,18,3,760,0,1
5,6/10/2018,CO,19,19,1,510,0,1
5,6/10/2018,CO,19,19,2,590,1,1
5,6/10/2018,CO,20,20,1,467,0,1
5,6/10/2018,CO,20,20,2,330,0,1
6,6/13/2018,CO,1,1,1,593,0,1
6,6/13/2018,CO,1,1,2,543,0,1
6,6/13/2018,CO,2,2,1,480,0,1
6,6/13/2018,CO,3,3,1,592,0,1
6,6/13/2018,CO,3,3,2,585,1,1
6,6/13/2018,CO,4,4,1,500,0,1
6,6/13/2018,CO,5,5,1,647,0,1
6,6/13/2018,CO,6,6,1,564,0,1
6,6/13/2018,CO,6,6,2,697,0,1
6,6/13/2018,CO,7,7,1,655,0,1
6,6/13/2018,CO,8,8,1,NA,NA,NA
6,6/13/2018,CO,8,8,2,740,0,1
6,6/13/2018,CO,8,8,3,714,0,1
6,6/13/2018,CO,8,8,4,665,0,1
6,6/13/2018,CO,9,9,1,724,0,1
6,6/13/2018,CO,9,9,2,554,0,1
6,6/13/2018,CO,10,10,1,434,0,1
6,6/13/2018,CO,10,10,2,375,0,1
6,6/13/2018,CO,11,11,1,406,0,1
6,6/13/2018,CO,11,11,2,0,0,0
6,6/13/2018,CO,11,11,3,708,0,1
6,6/13/2018,CO,11,11,4,670,1,1
6,6/13/2018,CO,11,11,5,566,0,1
6,6/13/2018,CO,12,12,1,780,0,1
6,6/13/2018,CO,12,12,2,544,0,1
6,6/13/2018,CO,12,12,3,580,0,1
6,6/13/2018,CO,13,13,1,NA,NA,NA
6,6/13/2018,CO,13,13,2,685,1,1
6,6/13/2018,CO,13,13,3,697,0,1
6,6/13/2018,CO,13,13,4,693,0,1
6,6/13/2018,CO,13,13,5,671,0,1
6,6/13/2018,CO,14,14,1,683,0,1
6,6/13/2018,CO,15,15,1,711,0,1
6,6/13/2018,CO,15,15,2,651,0,1
6,6/13/2018,CO,16,16,1,750,0,1
6,6/13/2018,CO,16,16,2,575,0,1
6,6/13/2018,CO,17,17,1,725,0,1
6,6/13/2018,CO,17,17,2,729,0,1
6,6/13/2018,CO,17,17,3,741,0,1
6,6/13/2018,CO,18,18,1,655,0,1
6,6/13/2018,CO,18,18,2,551,0,1
6,6/13/2018,CO,18,18,3,762,0,1
6,6/13/2018,CO,19,19,1,519,0,1
6,6/13/2018,CO,19,19,2,615,0,1
6,6/13/2018,CO,20,20,1,490,0,1
6,6/13/2018,CO,20,20,2,351,0,1
7,6/16/2018,CO,1,1,1,612,0,1
7,6/16/2018,CO,1,1,2,552,0,1
7,6/16/2018,CO,2,2,1,480,0,1
7,6/16/2018,CO,3,3,1,605,0,1
7,6/16/2018,CO,3,3,2,589,0,1
7,6/16/2018,CO,4,4,1,501,0,1
7,6/16/2018,CO,5,5,1,648,0,1
7,6/16/2018,CO,6,6,1,585,0,1
7,6/16/2018,CO,6,6,2,722,0,1
7,6/16/2018,CO,7,7,1,655,0,1
7,6/16/2018,CO,8,8,1,NA,NA,NA
7,6/16/2018,CO,8,8,2,770,0,1
7,6/16/2018,CO,8,8,3,728,0,1
7,6/16/2018,CO,8,8,4,665,0,1
7,6/16/2018,CO,9,9,1,748,0,1
7,6/16/2018,CO,9,9,2,566,0,1
7,6/16/2018,CO,10,10,1,438,0,1
7,6/16/2018,CO,10,10,2,370,1,1
7,6/16/2018,CO,11,11,1,426,0,1
7,6/16/2018,CO,11,11,2,0,0,0
7,6/16/2018,CO,11,11,3,725,0,1
7,6/16/2018,CO,11,11,4,683,0,1
7,6/16/2018,CO,11,11,5,567,0,1
7,6/16/2018,CO,12,12,1,803,0,1
7,6/16/2018,CO,12,12,2,548,0,1
7,6/16/2018,CO,12,12,3,595,0,1
7,6/16/2018,CO,13,13,1,NA,NA,NA
7,6/16/2018,CO,13,13,2,700,1,1
7,6/16/2018,CO,13,13,3,701,0,1
7,6/16/2018,CO,13,13,4,691,0,1
7,6/16/2018,CO,13,13,5,703,0,1
7,6/16/2018,CO,14,14,1,699,0,1
7,6/16/2018,CO,15,15,1,722,0,1
7,6/16/2018,CO,15,15,2,664,0,1
7,6/16/2018,CO,16,16,1,760,0,1
7,6/16/2018,CO,16,16,2,580,0,1
7,6/16/2018,CO,17,17,1,748,0,1
7,6/16/2018,CO,17,17,2,754,0,1
7,6/16/2018,CO,17,17,3,748,0,1
7,6/16/2018,CO,18,18,1,667,1,1
7,6/16/2018,CO,18,18,2,575,0,1
7,6/16/2018,CO,18,18,3,782,0,1
7,6/16/2018,CO,19,19,1,520,0,1
7,6/16/2018,CO,19,19,2,622,0,1
7,6/16/2018,CO,20,20,1,494,0,1
7,6/16/2018,CO,20,20,2,360,0,1
8,6/20/2018,CO,1,1,1,652,0,1
8,6/20/2018,CO,1,1,2,600,0,1
8,6/20/2018,CO,2,2,1,494,0,1
8,6/20/2018,CO,3,3,1,610,0,1
8,6/20/2018,CO,3,3,2,600,0,1
8,6/20/2018,CO,4,4,1,527,0,1
8,6/20/2018,CO,5,5,1,670,0,1
8,6/20/2018,CO,6,6,1,585,0,1
8,6/20/2018,CO,6,6,2,750,0,1
8,6/20/2018,CO,7,7,1,687,0,1
8,6/20/2018,CO,8,8,1,NA,NA,NA
8,6/20/2018,CO,8,8,2,812,0,1
8,6/20/2018,CO,8,8,3,742,0,1
8,6/20/2018,CO,8,8,4,663,0,1
8,6/20/2018,CO,9,9,1,753,0,1
8,6/20/2018,CO,9,9,2,563,0,1
8,6/20/2018,CO,10,10,1,450,0,1
8,6/20/2018,CO,10,10,2,380,0,1
8,6/20/2018,CO,11,11,1,442,0,1
8,6/20/2018,CO,11,11,2,0,0,0
8,6/20/2018,CO,11,11,3,736,0,1
8,6/20/2018,CO,11,11,4,725,0,1
8,6/20/2018,CO,11,11,5,600,0,1
8,6/20/2018,CO,12,12,1,791,0,1
8,6/20/2018,CO,12,12,2,547,0,1
8,6/20/2018,CO,12,12,3,595,0,1
8,6/20/2018,CO,13,13,1,NA,NA,NA
8,6/20/2018,CO,13,13,2,706,0,1
8,6/20/2018,CO,13,13,3,705,0,1
8,6/20/2018,CO,13,13,4,721,0,1
8,6/20/2018,CO,13,13,5,715,0,1
8,6/20/2018,CO,14,14,1,709,0,1
8,6/20/2018,CO,15,15,1,735,0,1
8,6/20/2018,CO,15,15,2,690,0,1
8,6/20/2018,CO,16,16,1,752,0,1
8,6/20/2018,CO,16,16,2,589,0,1
8,6/20/2018,CO,17,17,1,766,0,1
8,6/20/2018,CO,17,17,2,771,0,1
8,6/20/2018,CO,17,17,3,761,0,1
8,6/20/2018,CO,18,18,1,681,0,1
8,6/20/2018,CO,18,18,2,583,0,1
8,6/20/2018,CO,18,18,3,790,0,1
8,6/20/2018,CO,19,19,1,531,0,1
8,6/20/2018,CO,19,19,2,651,0,1
8,6/20/2018,CO,20,20,1,511,0,1
8,6/20/2018,CO,20,20,2,364,0,1
9,6/23/2018,CO,1,1,1,661,0,1
9,6/23/2018,CO,1,1,2,609,0,1
9,6/23/2018,CO,2,2,1,491,0,1
9,6/23/2018,CO,3,3,1,617,0,1
9,6/23/2018,CO,3,3,2,600,0,1
9,6/23/2018,CO,4,4,1,529,0,1
9,6/23/2018,CO,5,5,1,653,0,1
9,6/23/2018,CO,6,6,1,600,0,1
9,6/23/2018,CO,6,6,2,578,0,1
9,6/23/2018,CO,7,7,1,690,0,1
9,6/23/2018,CO,8,8,1,NA,NA,NA
9,6/23/2018,CO,8,8,2,825,0,1
9,6/23/2018,CO,8,8,3,744,0,1
9,6/23/2018,CO,8,8,4,673,0,1
9,6/23/2018,CO,9,9,1,773,0,1
9,6/23/2018,CO,9,9,2,572,0,1
9,6/23/2018,CO,10,10,1,441,0,1
9,6/23/2018,CO,10,10,2,382,0,1
9,6/23/2018,CO,11,11,1,439,0,1
9,6/23/2018,CO,11,11,2,0,0,0
9,6/23/2018,CO,11,11,3,704,0,1
9,6/23/2018,CO,11,11,4,722,0,1
9,6/23/2018,CO,11,11,5,558,0,1
9,6/23/2018,CO,12,12,1,793,2,1
9,6/23/2018,CO,12,12,2,538,0,1
9,6/23/2018,CO,12,12,3,589,0,1
9,6/23/2018,CO,13,13,1,NA,NA,NA
9,6/23/2018,CO,13,13,2,692,0,1
9,6/23/2018,CO,13,13,3,701,0,1
9,6/23/2018,CO,13,13,4,686,1,1
9,6/23/2018,CO,13,13,5,696,0,1
9,6/23/2018,CO,14,14,1,693,0,1
9,6/23/2018,CO,15,15,1,711,0,1
9,6/23/2018,CO,15,15,2,669,0,1
9,6/23/2018,CO,16,16,1,709,1,1
9,6/23/2018,CO,16,16,2,554,0,1
9,6/23/2018,CO,17,17,1,741,0,1
9,6/23/2018,CO,17,17,2,759,0,1
9,6/23/2018,CO,17,17,3,729,0,1
9,6/23/2018,CO,18,18,1,641,0,1
9,6/23/2018,CO,18,18,2,564,0,1
9,6/23/2018,CO,18,18,3,764,0,1
9,6/23/2018,CO,19,19,1,521,0,1
9,6/23/2018,CO,19,19,2,642,0,1
9,6/23/2018,CO,20,20,1,510,0,1
9,6/23/2018,CO,20,20,2,361,0,1
10,6/27/2018,CO,1,1,1,683,0,1
10,6/27/2018,CO,1,1,2,624,0,1
10,6/27/2018,CO,2,2,1,490,0,1
10,6/27/2018,CO,3,3,1,625,0,1
10,6/27/2018,CO,3,3,2,612,0,1
10,6/27/2018,CO,4,4,1,530,0,1
10,6/27/2018,CO,5,5,1,660,0,1
10,6/27/2018,CO,6,6,1,605,0,1
10,6/27/2018,CO,6,6,2,755,0,1
10,6/27/2018,CO,7,7,1,700,0,1
10,6/27/2018,CO,8,8,1,NA,NA,NA
10,6/27/2018,CO,8,8,2,835,0,1
10,6/27/2018,CO,8,8,3,745,0,1
10,6/27/2018,CO,8,8,4,660,0,1
10,6/27/2018,CO,9,9,1,580,0,1
10,6/27/2018,CO,9,9,2,575,0,1
10,6/27/2018,CO,10,10,1,475,0,1
10,6/27/2018,CO,10,10,2,385,0,1
10,6/27/2018,CO,11,11,1,445,0,1
10,6/27/2018,CO,11,11,2,0,0,0
10,6/27/2018,CO,11,11,3,719,0,1
10,6/27/2018,CO,11,11,4,725,0,1
10,6/27/2018,CO,11,11,5,610,0,1
10,6/27/2018,CO,12,12,1,815,0,1
10,6/27/2018,CO,12,12,2,560,0,1
10,6/27/2018,CO,12,12,3,605,0,1
10,6/27/2018,CO,13,13,1,NA,NA,NA
10,6/27/2018,CO,13,13,2,713,1,1
10,6/27/2018,CO,13,13,3,721,0,1
10,6/27/2018,CO,13,13,4,711,0,1
10,6/27/2018,CO,13,13,5,735,0,1
10,6/27/2018,CO,14,14,1,680,0,1
10,6/27/2018,CO,15,15,1,740,0,1
10,6/27/2018,CO,15,15,2,705,0,1
10,6/27/2018,CO,16,16,1,720,0,1
10,6/27/2018,CO,16,16,2,563,0,1
10,6/27/2018,CO,17,17,1,745,0,1
10,6/27/2018,CO,17,17,2,771,0,1
10,6/27/2018,CO,17,17,3,740,0,1
10,6/27/2018,CO,18,18,1,652,0,1
10,6/27/2018,CO,18,18,2,545,0,1
10,6/27/2018,CO,18,18,3,670,0,1
10,6/27/2018,CO,19,19,1,534,0,1
10,6/27/2018,CO,19,19,2,650,0,1
10,6/27/2018,CO,20,20,1,515,0,1
10,6/27/2018,CO,20,20,2,340,0,1
11,7/1/2018,CO,1,1,1,674,0,1
11,7/1/2018,CO,1,1,2,617,0,1
11,7/1/2018,CO,2,2,1,495,0,1
11,7/1/2018,CO,3,3,1,630,0,1
11,7/1/2018,CO,3,3,2,592,0,1
11,7/1/2018,CO,4,4,1,521,0,1
11,7/1/2018,CO,5,5,1,658,0,1
11,7/1/2018,CO,6,6,1,610,0,1
11,7/1/2018,CO,6,6,2,747,0,1
11,7/1/2018,CO,7,7,1,702,0,1
11,7/1/2018,CO,8,8,1,NA,NA,NA
11,7/1/2018,CO,8,8,2,848,0,1
11,7/1/2018,CO,8,8,3,733,0,1
11,7/1/2018,CO,8,8,4,670,0,1
11,7/1/2018,CO,9,9,1,856,0,1
11,7/1/2018,CO,9,9,2,550,0,1
11,7/1/2018,CO,10,10,1,478,1,1
11,7/1/2018,CO,10,10,2,385,0,1
11,7/1/2018,CO,11,11,1,448,0,1
11,7/1/2018,CO,11,11,2,0,0,0
11,7/1/2018,CO,11,11,3,733,0,1
11,7/1/2018,CO,11,11,4,727,0,1
11,7/1/2018,CO,11,11,5,630,0,1
11,7/1/2018,CO,12,12,1,805,0,1
11,7/1/2018,CO,12,12,2,623,0,1
11,7/1/2018,CO,12,12,3,600,0,1
11,7/1/2018,CO,13,13,1,NA,NA,NA
11,7/1/2018,CO,13,13,2,702,0,1
11,7/1/2018,CO,13,13,3,722,0,1
11,7/1/2018,CO,13,13,4,710,0,1
11,7/1/2018,CO,13,13,5,720,0,1
11,7/1/2018,CO,14,14,1,688,0,1
11,7/1/2018,CO,15,15,1,745,0,1
11,7/1/2018,CO,15,15,2,668,0,1
11,7/1/2018,CO,16,16,1,738,0,1
11,7/1/2018,CO,16,16,2,590,0,1
11,7/1/2018,CO,17,17,1,770,0,1
11,7/1/2018,CO,17,17,2,744,0,1
11,7/1/2018,CO,17,17,3,753,0,1
11,7/1/2018,CO,18,18,1,641,0,1
11,7/1/2018,CO,18,18,2,545,0,1
11,7/1/2018,CO,18,18,3,794,0,1
11,7/1/2018,CO,19,19,1,542,0,1
11,7/1/2018,CO,19,19,2,646,0,1
11,7/1/2018,CO,20,20,1,330,0,1
11,7/1/2018,CO,20,20,2,512,0,1
12,7/4/2018,CO,1,1,1,695,0,1
12,7/4/2018,CO,1,1,2,634,0,1
12,7/4/2018,CO,2,2,1,596,0,1
12,7/4/2018,CO,3,3,1,629,0,1
12,7/4/2018,CO,3,3,2,609,0,1
12,7/4/2018,CO,4,4,1,530,0,1
12,7/4/2018,CO,5,5,1,665,0,1
12,7/4/2018,CO,6,6,1,610,0,1
12,7/4/2018,CO,6,6,2,750,0,1
12,7/4/2018,CO,7,7,1,703,0,1
12,7/4/2018,CO,8,8,1,NA,NA,NA
12,7/4/2018,CO,8,8,2,846,0,1
12,7/4/2018,CO,8,8,3,745,0,1
12,7/4/2018,CO,8,8,4,671,0,1
12,7/4/2018,CO,9,9,1,771,0,1
12,7/4/2018,CO,9,9,2,569,0,1
12,7/4/2018,CO,10,10,1,483,0,1
12,7/4/2018,CO,10,10,2,381,0,1
12,7/4/2018,CO,11,11,1,467,0,1
12,7/4/2018,CO,11,11,2,0,0,0
12,7/4/2018,CO,11,11,3,740,0,1
12,7/4/2018,CO,11,11,4,735,0,1
12,7/4/2018,CO,11,11,5,633,0,1
12,7/4/2018,CO,12,12,1,825,0,1
12,7/4/2018,CO,12,12,2,560,0,1
12,7/4/2018,CO,12,12,3,605,0,1
12,7/4/2018,CO,13,13,1,NA,NA,NA
12,7/4/2018,CO,13,13,2,733,0,1
12,7/4/2018,CO,13,13,3,727,0,1
12,7/4/2018,CO,13,13,4,720,0,1
12,7/4/2018,CO,13,13,5,735,0,1
12,7/4/2018,CO,14,14,1,715,0,1
12,7/4/2018,CO,15,15,1,755,0,1
12,7/4/2018,CO,15,15,2,700,0,1
12,7/4/2018,CO,16,16,1,775,0,1
12,7/4/2018,CO,16,16,2,603,0,1
12,7/4/2018,CO,17,17,1,780,0,1
12,7/4/2018,CO,17,17,2,775,0,1
12,7/4/2018,CO,17,17,3,770,0,1
12,7/4/2018,CO,18,18,1,676,0,1
12,7/4/2018,CO,18,18,2,570,0,1
12,7/4/2018,CO,18,18,3,793,0,1
12,7/4/2018,CO,19,19,1,530,0,1
12,7/4/2018,CO,19,19,2,652,0,1
12,7/4/2018,CO,20,20,1,500,0,1
12,7/4/2018,CO,20,20,2,365,0,1
13,7/7/2018,CO,1,1,1,676,1,1
13,7/7/2018,CO,1,1,2,589,0,1
13,7/7/2018,CO,2,2,1,471,0,1
13,7/7/2018,CO,3,3,1,626,0,1
13,7/7/2018,CO,3,3,2,573,0,1
13,7/7/2018,CO,4,4,1,514,0,1
13,7/7/2018,CO,5,5,1,621,0,1
13,7/7/2018,CO,6,6,1,559,0,1
13,7/7/2018,CO,6,6,2,749,0,1
13,7/7/2018,CO,7,7,1,696,0,1
13,7/7/2018,CO,8,8,1,NA,NA,NA
13,7/7/2018,CO,8,8,2,817,0,1
13,7/7/2018,CO,8,8,3,719,0,1
13,7/7/2018,CO,8,8,4,663,0,1
13,7/7/2018,CO,9,9,1,731,0,1
13,7/7/2018,CO,9,9,2,533,0,1
13,7/7/2018,CO,10,10,1,502,0,1
13,7/7/2018,CO,10,10,2,353,0,1
13,7/7/2018,CO,11,11,1,502,0,1
13,7/7/2018,CO,11,11,2,0,0,0
13,7/7/2018,CO,11,11,3,729,0,1
13,7/7/2018,CO,11,11,4,721,0,1
13,7/7/2018,CO,11,11,5,633,0,1
13,7/7/2018,CO,12,12,1,804,1,1
13,7/7/2018,CO,12,12,2,534,0,1
13,7/7/2018,CO,12,12,3,598,0,1
13,7/7/2018,CO,13,13,1,NA,NA,NA
13,7/7/2018,CO,13,13,2,705,0,1
13,7/7/2018,CO,13,13,3,726,1,1
13,7/7/2018,CO,13,13,4,671,0,1
13,7/7/2018,CO,13,13,5,724,0,1
13,7/7/2018,CO,14,14,1,666,0,1
13,7/7/2018,CO,15,15,1,735,0,1
13,7/7/2018,CO,15,15,2,767,0,1
13,7/7/2018,CO,16,16,1,736,0,1
13,7/7/2018,CO,16,16,2,592,0,1
13,7/7/2018,CO,17,17,1,772,0,1
13,7/7/2018,CO,17,17,2,765,0,1
13,7/7/2018,CO,17,17,3,751,0,1
13,7/7/2018,CO,18,18,1,653,0,1
13,7/7/2018,CO,18,18,2,562,0,1
13,7/7/2018,CO,18,18,3,774,0,1
13,7/7/2018,CO,19,19,1,524,0,1
13,7/7/2018,CO,19,19,2,639,0,1
13,7/7/2018,CO,20,20,1,494,0,1
13,7/7/2018,CO,20,20,2,339,0,1
14,7/11/2018,CO,1,1,1,662,0,1
14,7/11/2018,CO,1,1,2,610,0,1
14,7/11/2018,CO,2,2,1,490,1,1
14,7/11/2018,CO,3,3,1,620,0,1
14,7/11/2018,CO,3,3,2,580,0,1
14,7/11/2018,CO,4,4,1,540,0,1
14,7/11/2018,CO,5,5,1,655,1,1
14,7/11/2018,CO,6,6,1,590,0,1
14,7/11/2018,CO,6,6,2,750,0,1
14,7/11/2018,CO,7,7,1,570,0,1
14,7/11/2018,CO,8,8,1,NA,NA,NA
14,7/11/2018,CO,8,8,2,835,0,1
14,7/11/2018,CO,8,8,3,730,1,1
14,7/11/2018,CO,8,8,4,650,0,1
14,7/11/2018,CO,9,9,1,730,0,1
14,7/11/2018,CO,9,9,2,540,0,1
14,7/11/2018,CO,10,10,1,NA,NA,1
14,7/11/2018,CO,10,10,2,NA,NA,1
14,7/11/2018,CO,11,11,1,520,0,1
14,7/11/2018,CO,11,11,2,0,0,0
14,7/11/2018,CO,11,11,3,746,0,1
14,7/11/2018,CO,11,11,4,745,0,1
14,7/11/2018,CO,11,11,5,640,0,1
14,7/11/2018,CO,12,12,1,820,0,1
14,7/11/2018,CO,12,12,2,562,0,1
14,7/11/2018,CO,12,12,3,605,0,1
14,7/11/2018,CO,13,13,1,NA,NA,NA
14,7/11/2018,CO,13,13,2,730,0,1
14,7/11/2018,CO,13,13,3,735,0,1
14,7/11/2018,CO,13,13,4,730,0,1
14,7/11/2018,CO,13,13,5,733,0,1
14,7/11/2018,CO,14,14,1,712,0,1
14,7/11/2018,CO,15,15,1,760,0,1
14,7/11/2018,CO,15,15,2,696,0,1
14,7/11/2018,CO,16,16,1,755,0,1
14,7/11/2018,CO,16,16,2,602,0,1
14,7/11/2018,CO,17,17,1,780,0,1
14,7/11/2018,CO,17,17,2,775,0,1
14,7/11/2018,CO,17,17,3,768,0,1
14,7/11/2018,CO,18,18,1,670,0,1
14,7/11/2018,CO,18,18,2,575,0,1
14,7/11/2018,CO,18,18,3,780,0,1
14,7/11/2018,CO,19,19,1,530,0,1
14,7/11/2018,CO,19,19,2,655,0,1
14,7/11/2018,CO,20,20,1,505,0,1
14,7/11/2018,CO,20,20,2,365,0,1
15,7/15/2018,CO,1,1,1,692,1,1
15,7/15/2018,CO,1,1,2,630,0,1
15,7/15/2018,CO,2,2,1,480,0,1
15,7/15/2018,CO,3,3,1,638,0,1
15,7/15/2018,CO,3,3,2,562,1,1
15,7/15/2018,CO,4,4,1,528,0,1
15,7/15/2018,CO,5,5,1,648,0,1
15,7/15/2018,CO,6,6,1,618,0,1
15,7/15/2018,CO,6,6,2,645,0,1
15,7/15/2018,CO,7,7,1,675,0,1
15,7/15/2018,CO,8,8,1,NA,NA,NA
15,7/15/2018,CO,8,8,2,847,0,1
15,7/15/2018,CO,8,8,3,753,0,1
15,7/15/2018,CO,8,8,4,660,0,1
15,7/15/2018,CO,9,9,1,745,0,1
15,7/15/2018,CO,9,9,2,562,0,1
15,7/15/2018,CO,10,10,1,505,0,1
15,7/15/2018,CO,10,10,2,362,0,1
15,7/15/2018,CO,11,11,1,460,0,1
15,7/15/2018,CO,11,11,2,0,0,0
15,7/15/2018,CO,11,11,3,740,0,1
15,7/15/2018,CO,11,11,4,728,0,1
15,7/15/2018,CO,11,11,5,645,0,1
15,7/15/2018,CO,12,12,1,812,0,1
15,7/15/2018,CO,12,12,2,550,0,1
